3 , 1 , 1.00 , 0.00 , 0.00 , -0.00 , 1.00 , 0.00 , -0.00 , -0.00 , -0.49 , 0.87 , -0.12 , 0.00 , 0.00 , 550.00 , -10.00 , 531.00 , -10594.14 , 10594.14 , -9.69 , 8.48 , -8.55 , 7.29 , -0.06 , 7.46 , -5.61 , 554.30 , -10.26 , 561.48 , 0.00 , -0.00 , -0.06 , 6.33 , 1 , 0 , -5.61 , 4.30 , -0.26 , 30.48
2 , 1 , 1.00 , 0.00 , 0.00 , -0.00 , 1.00 , 0.00 , -0.00 , -0.00 , 1.00 , 0.00 , -0.03 , 0.00 , 0.00 , 250.00 , -10.00 , 231.00 , -10594.14 , 0.00 , -9.49 , -0.02 , -8.07 , -0.04 , 0.00 , 0.00 , -4.89 , 249.99 , -10.00 , 231.00 , 0.00 , -0.00 , 0.00 , 0.00 , 1 , 1 , -4.89 , -0.01 , 0.00 , 0.00
3 , 1 , 1.00 , 0.00 , 0.00 , -0.00 , 1.00 , 0.00 , -0.00 , -0.00 , 0.66 , -0.75 , -0.07 , 0.00 , 0.00 , 550.00 , -10.00 , 531.00 , -8266.43 , 8266.43 , -7.50 , 6.56 , -6.43 , 5.51 , -0.04 , 5.56 , -3.34 , 552.70 , -10.19 , 555.13 , 0.00 , 0.00 , -0.04 , 4.91 , 1 , 0 , -3.34 , 2.70 , -0.19 , 24.13
2 , 1 , 1.00 , 0.00 , 0.00 , -0.00 , 1.00 , 0.00 , -0.00 , -0.00 , 1.00 , 0.00 , -0.02 , 0.00 , 0.00 , 250.00 , -10.00 , 231.00 , -8266.43 , 0.00 , -7.34 , -0.01 , -6.13 , -0.03 , 0.00 , 0.00 , -2.97 , 249.99 , -10.00 , 231.00 , 0.00 , -0.00 , 0.00 , 0.00 , 1 , 1 , -2.97 , -0.01 , 0.00 , 0.00
3 , 1 , 1.00 , 0.00 , 0.00 , -0.00 , 1.00 , 0.00 , -0.00 , -0.00 , -0.98 , 0.18 , -0.13 , 0.00 , 0.00 , 550.00 , -10.00 , 531.00 , -11004.88 , 11004.88 , -10.07 , 8.82 , -9.03 , 7.72 , -0.06 , 7.90 , -6.06 , 554.63 , -10.43 , 563.32 , 0.01 , 0.00 , -1.81 , 5.98 , 0 , 0 , -6.06 , 4.63 , -0.43 , 32.32
2 , 1 , 1.00 , 0.00 , 0.00 , -0.00 , 1.00 , 0.00 , -0.00 , -0.00 , 1.00 , 0.00 , -0.04 , 0.00 , 0.00 , 250.00 , -10.00 , 231.00 , -11004.88 , 0.00 , -9.87 , -0.02 , -8.65 , -0.05 , 0.00 , 0.00 , -5.28 , 249.99 , -10.00 , 231.00 , 0.00 , -0.00 , 0.00 , 0.00 , 1 , 1 , -5.28 , -0.01 , 0.00 , 0.00
3 , 1 , 1.00 , 0.00 , 0.00 , -0.00 , 1.00 , 0.00 , -0.00 , -0.00 , -0.90 , -0.33 , -0.14 , 0.00 , 0.00 , 550.00 , -10.00 , 531.00 , -11419.72 , 11419.72 , -10.46 , 9.16 , -9.33 , 7.97 , -0.06 , 8.16 , -6.53 , 554.97 , -11.24 , 564.33 , -0.00 , 0.00 , -1.74 , 6.18 , 1 , 0 , -6.53 , 4.97 , -1.24 , 33.33
2 , 1 , 1.00 , 0.00 , 0.00 , -0.00 , 1.00 , 0.00 , -0.00 , -0.00 , 1.00 , 0.00 , -0.04 , 0.00 , 0.00 , 250.00 , -10.00 , 231.00 , -11419.72 , 0.00 , -10.25 , -0.02 , -9.04 , -0.05 , 0.00 , 0.00 , -5.69 , 249.99 , -10.00 , 231.00 , 0.00 , -0.00 , 0.00 , 0.00 , 1 , 1 , -5.69 , -0.01 , 0.00 , 0.00
3 , 1 , 1.00 , 0.00 , 0.00 , -0.00 , 1.00 , 0.00 , -0.00 , -0.00 , 0.77 , -0.64 , -0.07 , 0.00 , 0.00 , 550.00 , -10.00 , 531.00 , -8356.71 , 8356.71 , -7.58 , 6.63 , -6.52 , 5.58 , -0.04 , 5.64 , -3.42 , 552.75 , -10.19 , 555.45 , 0.00 , -0.00 , -0.04 , 4.97 , 1 , 0 , -3.42 , 2.75 , -0.19 , 24.45
2 , 1 , 1.00 , 0.00 , 0.00 , -0.00 , 1.00 , 0.00 , -0.00 , -0.00 , 1.00 , 0.00 , -0.02 , 0.00 , 0.00 , 250.00 , -10.00 , 231.00 , -8356.71 , 0.00 , -7.42 , -0.01 , -6.21 , -0.03 , 0.00 , 0.00 , -3.04 , 249.99 , -10.00 , 231.00 , -0.00 , 0.00 , 0.00 , 0.00 , 1 , 1 , -3.04 , -0.01 , 0.00 , 0.00
